Description,pvalue,cluster
GO:0006817_phosphate ion transport,0.0091,6
GO:0046244_salicylic acid catabolic process,1,6
GO:0048838_release of seed from dormancy,1,6
GO:0010116_positive regulation of abscisic acid biosynthetic process,1,6
GO:0097438_exit from dormancy,1,6
GO:0050691_regulation of defense response to virus by host,1,6
GO:0044419_biological process involved in interspecies interaction between organisms,0.112,6
GO:0070301_cellular response to hydrogen peroxide,0.0914,6
GO:0043290_apocarotenoid catabolic process,1,6
GO:0015721_bile acid and bile salt transport,1,6
GO:0016107_sesquiterpenoid catabolic process,1,6
GO:0120256_olefinic compound catabolic process,1,6
GO:1902932_positive regulation of alcohol biosynthetic process,1,6
GO:0015692_lead ion transport,1,6
GO:0046345_abscisic acid catabolic process,1,6
GO:0009800_cinnamic acid biosynthetic process,1,6
GO:0032025_response to cobalt ion,1,6
GO:0010927_cellular component assembly involved in morphogenesis,0.558,6
GO:0042886_amide transport,0.0954,6
GO:0009991_response to extracellular stimulus,0.4,6
GO:0010106_cellular response to iron ion starvation,0.102,6
GO:0009738_abscisic acid-activated signaling pathway,0.985,6
GO:0120254_olefinic compound metabolic process,0.227,6
GO:0031668_cellular response to extracellular stimulus,0.00944,6
GO:0071496_cellular response to external stimulus,1,6
GO:0015912_short-chain fatty acid transport,1,6
GO:0072330_monocarboxylic acid biosynthetic process,0.948,6
GO:0015812_gamma-aminobutyric acid transport,1,6
GO:0006972_hyperosmotic response,0.124,6
GO:0015850_organic hydroxy compound transport,1,6
GO:0033591_response to L-ascorbic acid,0.15,6
GO:0009298_GDP-mannose biosynthetic process,1,6
GO:0034059_response to anoxia,0.15,6
GO:0042221_response to chemical,0.998,6
GO:0031408_oxylipin biosynthetic process,0.646,6
GO:0034406_cell wall beta-glucan metabolic process,1,6
GO:0052541_plant-type cell wall cellulose metabolic process,1,6
GO:0031348_negative regulation of defense response,0.14,6
GO:0034614_cellular response to reactive oxygen species,0.032,6
GO:0006559_L-phenylalanine catabolic process,1,6
GO:0046864_isoprenoid transport,1,6
GO:0046865_terpenoid transport,1,6
GO:0080168_abscisic acid transport,1,6
GO:0015824_proline transport,0.214,6
GO:0009682_induced systemic resistance,1,6
GO:0009718_anthocyanin-containing compound biosynthetic process,0.0000011,6
GO:0043069_negative regulation of programmed cell death,0.999,6
GO:0009593_detection of chemical stimulus,0.321,6
GO:0006879_cellular iron ion homeostasis,0.108,6
GO:0009414_response to water deprivation,0.199,6
GO:0016115_terpenoid catabolic process,0.0229,6
GO:0005513_detection of calcium ion,1,6
GO:0080167_response to karrikin,0.000067,6
GO:0008300_isoprenoid catabolic process,0.0252,6
GO:0060548_negative regulation of cell death,0.999,6
GO:0009415_response to water,0.234,6
GO:0015706_nitrate transport,0.0158,6
GO:0110126_phloem loading,0.0302,6
GO:0055062_phosphate ion homeostasis,1,6
GO:0072506_trivalent inorganic anion homeostasis,1,6
GO:0019748_secondary metabolic process,0.0258,6
GO:0006826_iron ion transport,0.0281,6
GO:0009642_response to light intensity,0.0246,6
GO:0006714_sesquiterpenoid metabolic process,0.757,6
GO:0033273_response to vitamin,0.0382,6
GO:0001101_response to acid chemical,0.276,6
GO:0031540_regulation of anthocyanin biosynthetic process,0.0411,6
GO:0010167_response to nitrate,0.0488,6
GO:0010119_regulation of stomatal movement,0.171,6
GO:0010115_regulation of abscisic acid biosynthetic process,1,6
GO:0055072_iron ion homeostasis,0.0203,6
GO:0034599_cellular response to oxidative stress,0.0478,6
GO:0009809_lignin biosynthetic process,0.207,6
GO:0017085_response to insecticide,1,6
GO:0009962_regulation of flavonoid biosynthetic process,0.0476,6
GO:0009683_indoleacetic acid metabolic process,0.374,6
GO:0009581_detection of external stimulus,0.956,6
GO:0055076_transition metal ion homeostasis,0.121,6
GO:0042360_vitamin E metabolic process,1,6
GO:0009647_skotomorphogenesis,0.321,6
GO:0010189_vitamin E biosynthetic process,1,6
GO:0006026_aminoglycan catabolic process,0.33,6
GO:0006030_chitin metabolic process,0.33,6
GO:0006032_chitin catabolic process,0.33,6
GO:0006535_cysteine biosynthetic process from serine,1,6
GO:0010268_brassinosteroid homeostasis,0.0631,6
GO:1902221_erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process,1,6
GO:1901072_glucosamine-containing compound catabolic process,0.346,6
GO:0006558_L-phenylalanine metabolic process,1,6
GO:0046348_amino sugar catabolic process,0.346,6
GO:0009692_ethylene metabolic process,0.413,6
GO:0009693_ethylene biosynthetic process,0.413,6
GO:1900673_olefin metabolic process,0.413,6
GO:1900674_olefin biosynthetic process,0.413,6
GO:0043450_alkene biosynthetic process,0.413,6
GO:0043449_cellular alkene metabolic process,0.413,6
GO:0009624_response to nematode,0.0493,6
GO:1901701_cellular response to oxygen-containing compound,0.302,6
GO:1902930_regulation of alcohol biosynthetic process,1,6
GO:0009970_cellular response to sulfate starvation,1,6
GO:0006171_cAMP biosynthetic process,1,6
GO:0043173_nucleotide salvage,0.37,6
GO:0042908_xenobiotic transport,0.105,6
GO:0006855_xenobiotic transmembrane transport,0.105,6
GO:0019853_L-ascorbic acid biosynthetic process,1,6
GO:0009407_toxin catabolic process,0.593,6
GO:0046686_response to cadmium ion,0.119,6
GO:0045488_pectin metabolic process,0.721,6
GO:0010393_galacturonan metabolic process,0.723,6
GO:0019852_L-ascorbic acid metabolic process,1,6
GO:0071554_cell wall organization or biogenesis,0.5,6
GO:0006575_cellular modified amino acid metabolic process,0.597,6
GO:0090332_stomatal closure,0.401,6
GO:0071456_cellular response to hypoxia,1,6
GO:0055081_anion homeostasis,1,6
GO:0006144_purine nucleobase metabolic process,0.409,6
GO:0046058_cAMP metabolic process,1,6
GO:0051339_regulation of lyase activity,1,6
GO:0015807_L-amino acid transport,1,6
GO:0048448_stamen morphogenesis,0.423,6
GO:0098661_inorganic anion transmembrane transport,0.0174,6
GO:0046916_cellular transition metal ion homeostasis,0.329,6
GO:0120251_hydrocarbon biosynthetic process,0.526,6
GO:0009404_toxin metabolic process,0.687,6
GO:0042362_fat-soluble vitamin biosynthetic process,1,6
GO:0062197_cellular response to chemical stress,0.124,6
GO:0019216_regulation of lipid metabolic process,0.886,6
GO:1901616_organic hydroxy compound catabolic process,0.886,6
GO:0070417_cellular response to cold,0.472,6
GO:0052542_defense response by callose deposition,1,6
GO:0006066_alcohol metabolic process,0.735,6
GO:1901336_lactone biosynthetic process,1,6
GO:0016036_cellular response to phosphate starvation,0.0559,6
GO:0009190_cyclic nucleotide biosynthetic process,1,6
GO:1901334_lactone metabolic process,1,6
GO:0009744_response to sucrose,0.000000015,6
GO:0006775_fat-soluble vitamin metabolic process,1,6
GO:0006563_L-serine metabolic process,0.522,6
GO:0046688_response to copper ion,0.000000063,6
GO:1901419_regulation of response to alcohol,0.915,6
GO:0009787_regulation of abscisic acid-activated signaling pathway,0.915,6
GO:1905957_regulation of cellular response to alcohol,0.915,6
GO:0009168_purine ribonucleoside monophosphate biosynthetic process,0.0437,6
GO:0009127_purine nucleoside monophosphate biosynthetic process,0.0437,6
GO:0015849_organic acid transport,0.338,6
GO:0010099_regulation of photomorphogenesis,1,6
GO:0006022_aminoglycan metabolic process,0.0454,6
GO:0009850_auxin metabolic process,0.643,6
GO:0009411_response to UV,0.00102,6
GO:0000272_polysaccharide catabolic process,0.466,6
GO:0006468_protein phosphorylation,0.996,6
GO:0009072_aromatic amino acid family metabolic process,0.637,6
GO:1903825_organic acid transmembrane transport,0.488,6
GO:0010951_negative regulation of endopeptidase activity,0.0585,6
GO:0010466_negative regulation of peptidase activity,0.0585,6
GO:0006814_sodium ion transport,0.22,6
GO:0016998_cell wall macromolecule catabolic process,1,6
GO:1901606_alpha-amino acid catabolic process,0.271,6
GO:0009110_vitamin biosynthetic process,0.682,6
GO:0044106_cellular amine metabolic process,0.637,6
GO:0044550_secondary metabolite biosynthetic process,0.159,6
GO:0009694_jasmonic acid metabolic process,0.278,6
GO:0006783_heme biosynthetic process,1,6
GO:0045490_pectin catabolic process,0.00035,6
GO:0006875_cellular metal ion homeostasis,0.517,6
GO:0009627_systemic acquired resistance,0.0971,6
GO:0010118_stomatal movement,0.352,6
GO:0097305_response to alcohol,0.791,6
GO:0031537_regulation of anthocyanin metabolic process,0.08,6
GO:0002237_response to molecule of bacterial origin,0.945,6
GO:0009684_indoleacetic acid biosynthetic process,0.554,6
GO:0098656_anion transmembrane transport,0.125,6
GO:0045861_negative regulation of proteolysis,0.0846,6
GO:0000041_transition metal ion transport,0.00607,6
GO:0009106_lipoate metabolic process,0.0233,6
GO:0042168_heme metabolic process,1,6
GO:0051346_negative regulation of hydrolase activity,0.0967,6
GO:0009063_cellular amino acid catabolic process,0.216,6
GO:0000959_mitochondrial RNA metabolic process,1,6
GO:0009788_negative regulation of abscisic acid-activated signaling pathway,0.676,6
GO:2000030_regulation of response to red or far red light,1,6
GO:0046165_alcohol biosynthetic process,0.464,6
GO:0009733_response to auxin,0.313,6
GO:0016106_sesquiterpenoid biosynthetic process,0.692,6
GO:0009789_positive regulation of abscisic acid-activated signaling pathway,1,6
GO:0052548_regulation of endopeptidase activity,0.112,6
GO:0010260_animal organ senescence,0.216,6
GO:0009932_cell tip growth,0.106,6
GO:0009851_auxin biosynthetic process,0.631,6
GO:0009863_salicylic acid mediated signaling pathway,0.241,6
GO:0009737_response to abscisic acid,0.889,6
GO:0034284_response to monosaccharide,0.179,6
GO:0015837_amine transport,0.358,6
GO:0061025_membrane fusion,0.983,6
GO:0052547_regulation of peptidase activity,0.134,6
GO:0005977_glycogen metabolic process,0.371,6
GO:0071446_cellular response to salicylic acid stimulus,0.253,6
GO:0006598_polyamine catabolic process,0.731,6
"GO:0019288_isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",0.0547,6
GO:0051554_flavonol metabolic process,0.0434,6
GO:0051555_flavonol biosynthetic process,0.0434,6
GO:0042542_response to hydrogen peroxide,0.00015,6
GO:0051552_flavone metabolic process,0.0472,6
GO:0051553_flavone biosynthetic process,0.0472,6
GO:0006546_glycine catabolic process,0.0292,6
GO:0042402_cellular biogenic amine catabolic process,0.468,6
GO:0042435_indole-containing compound biosynthetic process,0.687,6
GO:0006995_cellular response to nitrogen starvation,1,6
GO:0080129_proteasome core complex assembly,0.876,6
GO:0010413_glucuronoxylan metabolic process,0.835,6
GO:0034754_cellular hormone metabolic process,0.527,6
GO:0043086_negative regulation of catalytic activity,0.529,6
GO:0045492_xylan biosynthetic process,0.842,6
GO:0046942_carboxylic acid transport,0.336,6
GO:0009071_serine family amino acid catabolic process,0.0378,6
GO:0035435_phosphate ion transmembrane transport,0.0166,6
GO:0010193_response to ozone,0.78,6
GO:0034219_carbohydrate transmembrane transport,0.783,6
GO:0045491_xylan metabolic process,0.853,6
GO:0009310_amine catabolic process,0.175,6
GO:0034404_nucleobase-containing small molecule biosynthetic process,1,6
GO:0006766_vitamin metabolic process,0.136,6
GO:0070887_cellular response to chemical stimulus,0.0063,6
GO:0005975_carbohydrate metabolic process,0.484,6
GO:0006544_glycine metabolic process,0.0516,6
GO:0050896_response to stimulus,0.0881,6
GO:0010359_regulation of anion channel activity,0.808,6
GO:0043455_regulation of secondary metabolic process,0.0644,6
GO:0009555_pollen development,0.366,6
GO:0032412_regulation of ion transmembrane transporter activity,0.816,6
GO:0022898_regulation of transmembrane transporter activity,0.816,6
GO:1901617_organic hydroxy compound biosynthetic process,0.11,6
GO:0032409_regulation of transporter activity,0.82,6
GO:0009152_purine ribonucleotide biosynthetic process,0.59,6
GO:0043562_cellular response to nitrogen levels,1,6
GO:0009308_amine metabolic process,0.748,6
GO:0016144_S-glycoside biosynthetic process,0.0104,6
GO:0019761_glucosinolate biosynthetic process,0.0104,6
GO:0019758_glycosinolate biosynthetic process,0.0104,6
GO:0044092_negative regulation of molecular function,0.649,6
GO:0009410_response to xenobiotic stimulus,0.635,6
GO:0006865_amino acid transport,0.423,6
GO:0009741_response to brassinosteroid,0.627,6
GO:0009750_response to fructose,0.632,6
GO:0000302_response to reactive oxygen species,0.492,6
GO:0030048_actin filament-based movement,0.575,6
GO:0006486_protein glycosylation,0.999,6
GO:0046164_alcohol catabolic process,0.86,6
GO:0043413_macromolecule glycosylation,0.999,6
GO:0006636_unsaturated fatty acid biosynthetic process,0.00385,6
GO:0015711_organic anion transport,0.481,6
GO:0006970_response to osmotic stress,0.0265,6
GO:0003333_amino acid transmembrane transport,0.32,6
GO:0016138_glycoside biosynthetic process,0.0155,6
GO:0006629_lipid metabolic process,0.635,6
GO:0009101_glycoprotein biosynthetic process,0.999,6
GO:0007169_transmembrane receptor protein tyrosine kinase signaling pathway,0.875,6
GO:0016126_sterol biosynthetic process,0.99,6
GO:0046218_indolalkylamine catabolic process,0.367,6
GO:0006569_tryptophan catabolic process,0.367,6
GO:0016042_lipid catabolic process,0.0199,6
GO:0006164_purine nucleotide biosynthetic process,0.725,6
GO:0030003_cellular cation homeostasis,0.298,6
GO:0050826_response to freezing,1,6
GO:0048438_floral whorl development,0.396,6
GO:0019760_glucosinolate metabolic process,0.00625,6
GO:0009746_response to hexose,0.276,6
GO:0009409_response to cold,0.00009,6
GO:1905039_carboxylic acid transmembrane transport,0.485,6
GO:1901659_glycosyl compound biosynthetic process,0.021,6
GO:0031347_regulation of defense response,0.341,6
GO:0006568_tryptophan metabolic process,0.528,6
GO:0006586_indolalkylamine metabolic process,0.528,6
GO:0006508_proteolysis,0.754,6
GO:0034220_ion transmembrane transport,0.0804,6
GO:0016137_glycoside metabolic process,0.0365,6
GO:0042446_hormone biosynthetic process,0.503,6
GO:0019344_cysteine biosynthetic process,0.0011,6
GO:0005982_starch metabolic process,0.735,6
GO:0006576_cellular biogenic amine metabolic process,0.56,6
GO:0046777_protein autophosphorylation,0.725,6
GO:0010150_leaf senescence,0.201,6
GO:0090693_plant organ senescence,0.203,6
GO:0043090_amino acid import,1,6
GO:0009725_response to hormone,0.00109,6
GO:0016556_mRNA modification,0.0065,6
GO:0043269_regulation of ion transport,0.936,6
GO:0016226_iron-sulfur cluster assembly,1,6
GO:0031163_metallo-sulfur cluster assembly,1,6
GO:0006757_ATP generation from ADP,0.495,6
